타임스탬프,최근 한 달 이내에 샐러드를 구매한 경험이 있습니까?,이 제품은 신선해 보인다,이 제품은 맛있어 보인다,이 제품은 양이 많아 보인다,이 제품은 건강에 좋아 보인다,이 제품은 영양가가 있어보인다,이 제품은 신뢰가 간다,이 제품은 위생적으로 보인다,나는 이 제품을 구매할 가능성이 있다,나는 이 제품을 구매하는 것을 주위에 추천한다,나는 이 제품을 구매하고 싶다,이 제품은 신선해 보인다,이 제품은 맛있어 보인다,이 제품은 양이 많아 보인다,이 제품은 건강에 좋아 보인다,이 제품은 영양가가 있어 보인다,이 제품에 신뢰가 간다,이 제품은 위생적으로 보인다,나는 이 제품을 구매할 가능성이 있다,나는 이 제품을 구매하는 것을 주위에 추천한다,나는 이 제품을 구매하고 싶다,이 제품은 신선해 보인다,이 제품은 맛있어 보인다,이 제품은 양이 많아 보인다,이 제품은 건강에 좋아 보인다,이 제품은 영양가가 있어 보인다,이 제품에 신뢰가 간다,이 제품은 위생적으로 보인다,나는 이 제품을 구매할 가능성이 있다,나는 이 제품을 구매하는 것을 주위에 추천한다,나는 이 제품을 구매하고 싶다,이 제품은 신선해 보인다,이 제품은 맛있어 보인다,이 제품은 양이 많아 보인다,이 제품은 건강에 좋아 보인다,이 제품은 영양가가 있어 보인다,이 제품에 신뢰가 간다,이 제품은 위생적으로 보인다,나는 이 제품을 구매할 가능성이 있다,나는 이 제품을 구매하는 것을 주위에 추천한다,나는 이 제품을 구매하고 싶다,성별,연령
5-1-2018 16:57:14,네,3,4,4,5,4,4,3,3,2,4,2,4,2,4,4,2,4,4,2,3,4,4,3,3,3,3,4,4,3,4,2,4,2,4,3,3,3,3,3,3,여자,20대
5-2-2018 17:29:28,네,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,여자,40대 이상
5-2-2018 17:46:42,네,3,2,1,4,4,3,3,3,2,2,3,2,3,4,4,3,3,3,3,3,3,2,1,3,3,2,3,2,2,2,3,3,3,4,3,3,3,3,3,2,여자,20대
5-2-2018 17:59:24,네,3,2,3,4,4,3,2,2,3,2,3,3,3,3,3,2,2,2,3,2,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,2,2,2,2,2,여자,20대
5-3-2018 12:09:31,네,4,4,1,3,1,3,3,2,2,2,4,4,1,2,2,2,3,2,2,2,4,4,3,3,2,2,3,2,2,2,3,3,3,3,2,2,3,2,2,2,여자,20대
5-3-2018 13:35:46,아니오,3,2,2,4,4,4,2,2,2,2,2,3,4,3,3,4,4,4,4,4,2,3,2,3,2,2,3,2,2,2,2,2,3,2,4,3,3,2,2,2,여자,20대
5-3-2018 14:27:10,네,4,3,2,4,4,3,4,2,2,2,2,1,2,3,3,2,2,1,2,3,4,4,3,4,4,4,5,5,4,4,1,1,1,2,3,2,2,2,2,1,여자,20대
5-3-2018 17:35:44,네,2,2,2,4,4,3,2,1,1,1,2,2,3,3,3,2,2,1,1,1,2,1,5,3,3,1,2,1,1,1,2,2,2,3,3,2,1,1,1,1,여자,20대
5-3-2018 17:38:10,아니오,4,4,3,4,3,3,4,4,2,3,4,4,4,4,4,3,4,4,3,3,4,4,3,4,3,3,3,4,3,3,4,4,4,4,4,3,4,4,3,3,여자,20대
5-3-2018 17:41:56,아니오,4,5,2,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,여자,20대
5-3-2018 17:44:23,아니오,4,3,3,4,3,4,4,4,3,4,2,3,2,3,3,2,3,3,3,3,4,4,4,4,4,4,4,4,3,4,3,4,3,3,3,3,3,4,3,3,여자,20대
5-3-2018 17:48:42,네,4,4,3,4,4,4,4,4,3,3,4,4,3,4,4,4,4,4,3,3,4,4,3,4,4,4,4,4,3,3,4,4,3,4,4,4,4,4,3,3,여자,20대
5-3-2018 17:50:41,네,4,3,3,4,4,5,2,4,2,2,2,3,4,5,4,5,3,4,3,3,2,3,2,4,4,4,3,3,2,2,3,3,3,5,4,4,4,4,3,4,여자,20대
5-3-2018 17:50:58,네,5,5,2,4,4,4,4,4,3,4,3,4,4,4,4,4,3,3,3,3,4,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,여자,20대
5-3-2018 17:53:35,네,3,2,2,3,3,3,2,2,3,3,4,4,3,4,3,4,4,3,4,4,2,2,2,2,2,2,2,2,2,2,4,4,5,4,4,4,4,4,4,4,여자,20대
5-3-2018 17:53:42,아니오,3,4,3,4,4,3,4,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,여자,20대
5-3-2018 17:56:02,네,3,3,4,4,4,3,4,4,3,3,3,3,4,4,4,3,4,4,3,3,4,3,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,여자,20대
5-3-2018 17:58:31,네,2,2,2,2,4,4,4,4,2,4,2,2,4,2,4,2,2,4,2,2,4,4,2,4,4,4,4,4,2,4,2,2,2,2,2,1,2,2,1,2,여자,20대
5-3-2018 17:58:36,아니오,2,1,1,3,2,2,2,3,1,1,2,2,1,3,2,1,4,1,1,1,3,1,1,3,2,1,3,1,1,1,2,1,1,2,1,1,3,1,1,1,남자,20대
5-3-2018 18:02:06,네,3,4,2,3,4,2,3,3,2,2,4,3,3,4,4,3,4,4,3,4,4,3,2,4,3,3,3,3,3,3,3,3,2,3,4,3,3,3,2,3,여자,20대
5-3-2018 18:02:28,아니오,2,2,3,3,2,2,3,3,2,2,3,2,2,4,3,2,4,2,1,2,3,2,2,3,3,3,4,2,2,2,3,2,2,3,2,2,3,3,2,2,여자,20대
5-3-2018 18:07:22,네,4,2,1,5,5,3,4,4,2,3,2,2,1,4,4,2,3,1,1,1,4,3,3,4,4,4,4,4,2,3,3,2,2,4,4,3,3,2,2,2,여자,20대
5-3-2018 18:35:15,네,3,2,1,4,4,3,3,2,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,여자,20대
5-3-2018 19:10:47,네,2,1,1,3,2,1,2,1,1,1,3,4,2,4,4,3,4,4,2,3,4,4,1,4,4,5,5,4,4,4,1,2,1,2,1,2,2,1,1,1,여자,20대
5-3-2018 19:21:11,아니오,3,2,1,4,5,3,4,1,2,2,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,여자,20대
5-3-2018 19:55:47,아니오,4,4,1,4,3,2,4,2,1,3,4,3,2,3,3,4,4,2,1,2,3,2,1,3,3,2,3,1,1,1,3,3,2,2,3,2,3,1,1,1,여자,20대
5-3-2018 20:18:21,아니오,3,3,1,1,2,1,2,2,1,1,4,4,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,여자,20대
5-3-2018 20:34:04,네,2,4,1,5,3,2,3,3,2,2,3,1,2,3,2,1,2,2,2,1,2,2,3,2,2,3,3,3,2,2,2,2,1,2,1,1,2,2,1,2,여자,20대
5-3-2018 20:57:09,네,2,2,2,3,3,3,3,2,2,3,3,3,4,3,3,3,3,3,3,2,3,2,3,3,3,3,4,3,3,2,3,2,3,2,2,2,3,2,2,3,여자,20대
5-3-2018 23:34:04,네,4,3,2,4,5,3,4,3,3,4,2,3,2,2,3,2,3,3,2,1,4,4,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,1,1,여자,20대
5-3-2018 23:38:11,네,3,4,4,5,5,5,4,5,5,5,3,3,2,2,2,2,3,2,2,3,4,4,4,4,4,5,4,4,4,5,3,2,2,2,4,4,3,3,3,3,여자,20대
5-4-2018 0:20:24,네,3,2,1,4,4,3,3,4,3,3,3,2,2,4,4,3,3,4,3,3,3,3,2,4,3,3,3,4,2,3,2,2,2,4,3,2,3,3,2,2,여자,20대
5-4-2018 0:37:18,네,4,4,4,4,4,4,4,4,4,4,2,3,3,3,4,4,2,2,2,2,2,2,1,4,3,4,4,3,4,2,2,2,2,3,4,4,2,2,2,2,여자,20대
5-4-2018 0:39:28,네,2,2,2,3,3,2,3,2,2,2,3,3,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,여자,20대
5-4-2018 0:40:19,네,3,3,2,4,2,2,4,2,3,2,3,4,4,3,3,4,4,4,4,4,3,3,2,4,4,4,4,4,4,4,2,4,2,4,4,4,4,4,4,4,여자,20대
5-4-2018 0:45:50,네,4,5,2,4,4,4,5,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,2,2,2,2,2,2,3,3,3,2,여자,20대
5-4-2018 1:42:43,네,4,3,3,5,5,3,3,3,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4,3,여자,20대
5-4-2018 1:59:03,아니오,2,4,4,4,4,2,2,2,2,2,2,2,4,4,4,4,4,2,2,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,4,4,2,2,2,여자,20대
5-4-2018 8:51:24,네,4,3,3,3,3,3,4,4,4,4,2,2,1,3,2,2,3,2,2,2,3,3,2,3,3,2,3,2,2,2,2,1,1,2,2,1,3,1,1,1,여자,20대
5-4-2018 9:01:01,네,3,2,3,3,2,3,3,3,3,2,3,3,4,3,3,2,3,2,3,3,3,3,2,3,3,2,4,3,2,2,3,3,4,3,4,3,4,4,4,3,여자,20대
5-4-2018 9:01:10,네,3,4,3,4,4,3,4,4,3,3,3,2,4,3,3,3,3,2,3,3,4,4,3,3,3,3,4,4,3,3,3,2,4,4,4,3,3,3,3,3,여자,20대
5-4-2018 10:06:32,네,3,4,3,5,4,3,3,4,4,4,3,4,2,3,3,3,3,3,3,3,4,4,5,4,4,4,4,4,4,4,4,5,5,4,4,4,4,5,5,5,여자,20대
5-4-2018 10:07:34,네,4,4,2,4,4,3,3,4,3,3,4,3,2,4,4,3,3,3,3,3,4,3,2,4,4,3,3,3,2,3,3,2,2,3,3,2,3,3,2,2,여자,20대
5-4-2018 10:15:58,아니오,4,4,3,4,4,4,4,3,3,4,4,4,3,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,3,4,4,3,3,4,4,4,4,3,3,3,여자,20대
5-4-2018 10:26:09,아니오,4,5,3,4,4,2,3,4,2,4,4,4,4,4,3,2,4,4,3,4,3,3,2,3,4,2,3,4,3,4,4,4,3,4,3,2,4,4,3,4,여자,20대
5-4-2018 10:26:13,네,4,5,2,5,4,5,5,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,2,4,4,3,2,2,1,2,4,4,4,4,4,4,4,4,4,4,여자,20대
5-4-2018 10:30:22,아니오,3,4,2,4,4,2,3,4,3,4,4,4,4,4,4,3,4,4,3,4,3,3,3,4,3,1,3,3,2,3,3,3,3,2,3,1,3,2,2,3,여자,20대
5-4-2018 10:36:29,네,3,4,3,3,3,3,3,4,4,4,3,4,3,3,3,3,3,4,4,4,3,4,3,3,3,3,3,4,4,4,2,2,3,2,2,2,3,4,4,4,여자,20대
5-4-2018 10:52:25,네,3,3,2,4,4,3,3,2,2,2,2,2,2,3,3,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,1,2,2,2,2,2,2,2,여자,20대
5-4-2018 10:52:35,아니오,3,4,5,4,4,3,4,4,3,3,4,3,3,4,4,3,3,3,3,3,2,3,2,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,여자,20대
5-4-2018 10:56:42,네,3,2,2,3,4,3,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,여자,20대
5-4-2018 11:50:11,아니오,3,2,2,5,5,1,3,5,2,3,2,4,4,4,4,3,3,4,3,3,4,3,4,5,5,4,4,4,4,4,1,2,1,2,3,1,3,2,2,1,여자,20대
5-4-2018 11:52:49,네,1,4,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,4,1,2,3,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,여자,20대
5-4-2018 12:20:49,아니오,3,2,3,2,2,3,2,3,2,2,3,4,3,3,3,3,3,4,3,3,3,2,3,2,2,3,2,3,2,2,3,4,3,3,3,3,3,4,3,3,여자,20대
5-4-2018 12:21:08,네,3,2,2,5,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,3,4,5,4,4,4,3,4,4,4,4,5,여자,20대
5-4-2018 12:32:07,네,3,3,2,2,2,3,1,2,2,1,4,3,4,4,4,3,4,3,4,3,3,1,1,2,2,2,2,2,2,2,3,3,4,3,4,4,3,4,3,3,여자,20대
5-4-2018 13:12:21,네,3,3,1,3,3,2,4,1,1,1,4,4,4,4,4,3,3,3,3,3,3,2,2,3,2,2,3,2,2,1,3,2,2,3,3,2,2,2,2,2,여자,20대
5-4-2018 13:18:34,아니오,5,3,2,4,4,4,4,3,4,4,2,3,4,2,3,3,3,2,2,2,3,3,3,3,3,3,4,3,3,3,2,2,4,2,3,2,2,2,2,2,여자,20대
5-4-2018 14:28:42,네,3,3,1,3,3,2,4,1,1,1,4,4,4,4,4,3,3,3,3,3,3,2,2,3,2,2,3,2,2,1,3,2,2,3,3,2,2,2,2,2,여자,20대
5-4-2018 20:17:55,아니오,3,3,3,4,4,3,3,3,3,3,3,2,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,여자,20대
